Number of data,Reference,Experiment No,Train/Test Set,Catalyst,Base,Base wt%,Base 2,Base 2 wt%,Support,Support wt%,Support 2,Catalyst preparation method,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time  (h),Reduction  H2 %,Temperature (C),Pressure (bar),W/F (mgcat/minml),Time on Stream (h),CO % in feed,Inert % in feed,CH4 % in feed,H2O % in feed,H2/CO2 in feed,CO2 Conversion %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3559,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",463,Train,Ni/CeO2-ZrO2,Ni,40,None,0,CeO2,42,ZrO2,OH,500,5,500,1,2,100,275,1,20,500,0,0,0,0,4,95.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3560,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",463,Train,Ni/CeO2-ZrO2,Ni,40,None,0,CeO2,42,ZrO2,OH,500,5,500,1,2,100,300,1,20,500,0,0,0,0,4,95.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",463,Train,Ni/CeO2-ZrO2,Ni,40,None,0,CeO2,42,ZrO2,OH,500,5,500,1,2,100,350,1,20,500,0,0,0,0,4,92.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3562,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",464,Train,Ni/ZrO2,Ni,40,None,0,ZrO2,60,None,OH,500,5,500,1,2,100,150,1,20,500,0,0,0,0,4,5.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3563,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",464,Train,Ni/ZrO2,Ni,40,None,0,ZrO2,60,None,OH,500,5,500,1,2,100,175,1,20,500,0,0,0,0,4,17.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3564,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",464,Train,Ni/ZrO2,Ni,40,None,0,ZrO2,60,None,OH,500,5,500,1,2,100,200,1,20,500,0,0,0,0,4,45.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",464,Train,Ni/ZrO2,Ni,40,None,0,ZrO2,60,None,OH,500,5,500,1,2,100,225,1,20,500,0,0,0,0,4,79.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",464,Train,Ni/ZrO2,Ni,40,None,0,ZrO2,60,None,OH,500,5,500,1,2,100,250,1,20,500,0,0,0,0,4,91.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3567,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",464,Train,Ni/ZrO2,Ni,40,None,0,ZrO2,60,None,OH,500,5,500,1,2,100,275,1,20,500,0,0,0,0,4,94.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3568,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",464,Train,Ni/ZrO2,Ni,40,None,0,ZrO2,60,None,OH,500,5,500,1,2,100,300,1,20,500,0,0,0,0,4,94.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3569,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",464,Train,Ni/ZrO2,Ni,40,None,0,ZrO2,60,None,OH,500,5,500,1,2,100,350,1,20,500,0,0,0,0,4,92.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3570,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",465,Train,Ni/CeO2-ZrO2,Ni,10,None,0,CeO2,81,ZrO2,OH,500,5,500,1,2,100,150,1,20,500,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",465,Train,Ni/CeO2-ZrO2,Ni,10,None,0,CeO2,81,ZrO2,OH,500,5,500,1,2,100,175,1,20,500,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3572,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",465,Train,Ni/CeO2-ZrO2,Ni,10,None,0,CeO2,81,ZrO2,OH,500,5,500,1,2,100,200,1,20,500,0,0,0,0,4,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",465,Train,Ni/CeO2-ZrO2,Ni,10,None,0,CeO2,81,ZrO2,OH,500,5,500,1,2,100,225,1,20,500,0,0,0,0,4,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3574,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",465,Train,Ni/CeO2-ZrO2,Ni,10,None,0,CeO2,81,ZrO2,OH,500,5,500,1,2,100,250,1,20,500,0,0,0,0,4,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3575,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",465,Train,Ni/CeO2-ZrO2,Ni,10,None,0,CeO2,81,ZrO2,OH,500,5,500,1,2,100,275,1,20,500,0,0,0,0,4,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",465,Train,Ni/CeO2-ZrO2,Ni,10,None,0,CeO2,81,ZrO2,OH,500,5,500,1,2,100,300,1,20,500,0,0,0,0,4,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",465,Train,Ni/CeO2-ZrO2,Ni,10,None,0,CeO2,81,ZrO2,OH,500,5,500,1,2,100,350,1,20,500,0,0,0,0,4,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3578,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",466,Test,Ni/CeO2-ZrO2,Ni,20,None,0,CeO2,72,ZrO2,OH,500,5,500,1,2,100,150,1,20,500,0,0,0,0,4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",466,Test,Ni/CeO2-ZrO2,Ni,20,None,0,CeO2,72,ZrO2,OH,500,5,500,1,2,100,175,1,20,500,0,0,0,0,4,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",466,Test,Ni/CeO2-ZrO2,Ni,20,None,0,CeO2,72,ZrO2,OH,500,5,500,1,2,100,200,1,20,500,0,0,0,0,4,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3581,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",466,Test,Ni/CeO2-ZrO2,Ni,20,None,0,CeO2,72,ZrO2,OH,500,5,500,1,2,100,225,1,20,500,0,0,0,0,4,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3582,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",466,Test,Ni/CeO2-ZrO2,Ni,20,None,0,CeO2,72,ZrO2,OH,500,5,500,1,2,100,250,1,20,500,0,0,0,0,4,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3583,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",466,Test,Ni/CeO2-ZrO2,Ni,20,None,0,CeO2,72,ZrO2,OH,500,5,500,1,2,100,275,1,20,500,0,0,0,0,4,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",466,Test,Ni/CeO2-ZrO2,Ni,20,None,0,CeO2,72,ZrO2,OH,500,5,500,1,2,100,300,1,20,500,0,0,0,0,4,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",466,Test,Ni/CeO2-ZrO2,Ni,20,None,0,CeO2,72,ZrO2,OH,500,5,500,1,2,100,350,1,20,500,0,0,0,0,4,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3586,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",467,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,63,ZrO2,OH,500,5,500,1,2,100,150,1,20,500,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3587,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",467,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,63,ZrO2,OH,500,5,500,1,2,100,175,1,20,500,0,0,0,0,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",467,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,63,ZrO2,OH,500,5,500,1,2,100,200,1,20,500,0,0,0,0,4,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3589,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",467,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,63,ZrO2,OH,500,5,500,1,2,100,225,1,20,500,0,0,0,0,4,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3590,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",467,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,63,ZrO2,OH,500,5,500,1,2,100,250,1,20,500,0,0,0,0,4,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",467,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,63,ZrO2,OH,500,5,500,1,2,100,275,1,20,500,0,0,0,0,4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3592,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",467,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,63,ZrO2,OH,500,5,500,1,2,100,300,1,20,500,0,0,0,0,4,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",467,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,63,ZrO2,OH,500,5,500,1,2,100,350,1,20,500,0,0,0,0,4,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",468,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,45,ZrO2,OH,500,5,500,1,2,100,150,1,20,500,0,0,0,0,4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",468,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,45,ZrO2,OH,500,5,500,1,2,100,175,1,20,500,0,0,0,0,4,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",468,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,45,ZrO2,OH,500,5,500,1,2,100,200,1,20,500,0,0,0,0,4,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",468,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,45,ZrO2,OH,500,5,500,1,2,100,225,1,20,500,0,0,0,0,4,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",468,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,45,ZrO2,OH,500,5,500,1,2,100,250,1,20,500,0,0,0,0,4,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",468,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,45,ZrO2,OH,500,5,500,1,2,100,275,1,20,500,0,0,0,0,4,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",468,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,45,ZrO2,OH,500,5,500,1,2,100,300,1,20,500,0,0,0,0,4,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601,"Nie W, Zou X, Chen C, Wang X, Ding W, Lu X. Methanation of carbon dioxide over Ni–Ce–Zr oxides prepared by one-pot hydrolysis of metal nitrates with ammonium carbonate. Catalysts 2017;7. https://doi.org/10.3390/catal7040104.",468,Train,Ni/CeO2-ZrO2,Ni,30,None,0,CeO2,45,ZrO2,OH,500,5,500,1,2,100,350,1,20,500,0,0,0,0,4,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602,"Stangeland K, Kalai D, Li H, Yu Z. The Effect of Temperature and Initial Methane Concentration on Carbon Dioxide Methanation on Ni Based Catalysts. Energy Procedia 2017;105:2016–21. https://doi.org/10.1016/j.egypro.2017.03.576.",469,Train,Ni/Al2O3,Ni,12,None,0,Al2O3,88,None,IWI,600,6,600,1,6,100,300,1,1.5,35,0,0,0,0,4,11.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603,"Stangeland K, Kalai D, Li H, Yu Z. The Effect of Temperature and Initial Methane Concentration on Carbon Dioxide Methanation on Ni Based Catalysts. Energy Procedia 2017;105:2016–21. https://doi.org/10.1016/j.egypro.2017.03.576.",469,Train,Ni/Al2O3,Ni,12,None,0,Al2O3,88,None,IWI,600,6,600,1,6,100,350,1,1.5,35,0,0,0,0,4,51.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3604,"Stangeland K, Kalai D, Li H, Yu Z. The Effect of Temperature and Initial Methane Concentration on Carbon Dioxide Methanation on Ni Based Catalysts. Energy Procedia 2017;105:2016–21. https://doi.org/10.1016/j.egypro.2017.03.576.",469,Train,Ni/Al2O3,Ni,12,None,0,Al2O3,88,None,IWI,600,6,600,1,6,100,400,1,1.5,35,0,0,0,0,4,85.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,150,1,4.6,200,0,50,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3606,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,200,1,4.6,200,0,50,0,0,4,2.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3607,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,220,1,4.6,200,0,50,0,0,4,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3608,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,230,1,4.6,200,0,50,0,0,4,12.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3609,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,235,1,4.6,200,0,50,0,0,4,15.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3610,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,240,1,4.6,200,0,50,0,0,4,21.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3611,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,250,1,4.6,200,0,50,0,0,4,37.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,255,1,4.6,200,0,50,0,0,4,49.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3613,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,260,1,4.6,200,0,50,0,0,4,62.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3614,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,275,1,4.6,200,0,50,0,0,4,83.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3615,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,300,1,4.6,200,0,50,0,0,4,90.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3616,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,325,1,4.6,200,0,50,0,0,4,90.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,340,1,4.6,200,0,50,0,0,4,90.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3618,"Alrafei B, Polaert I, Ledoux A, Azzolina-Jury F. Remarkably stable and efficient Ni and Ni-Co catalysts for CO2 methanation. Catal Today 2020;346:23–33. https://doi.org/10.1016/j.cattod.2019.03.026.",470,Train,Ni/Al2O3,Ni,25,None,0,Al2O3,75,None,WI,450,4,400,1,,5,375,1,4.6,200,0,50,0,0,4,87.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
